identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
13167211,A8703,1002872,"Laurie Arons General Secretary Communist Party of Australia [CPA] - Wages claim circa 1960s 2. Gietzelt at Eric Aaron's home Sydney 30/9/1969 3. Communist Party of Australia [CPA] meeting Brisbane attended by Laurie Aarons 10/7/1971 4. Mesyatsev, Deurin and Laurie Aarons at Rushcutters Bay Sydney 6/4/1972 - Primary Version",1969 - 1972,1969,1972,Open,Various locations,False,0
13168111,A8703,1004943,"7 Days [Episode 24] - Interview with Alec Robertson, Chairman of the Tribune - Primary Version",circa1965 - circa1965,,,Open,Various locations,False,0
13168130,A8703,1004952,7 Days [Episode 6] - Dead Men on Leave and Episode 7: Disdain to Conceal - Primary Version,circa1966 - circa1966,,,Not yet examined,Various locations,False,0
13187503,A8703,1043564,Anti Japanese Rearmament Delegation to the Prime Minister Canberra - 27 February 1952 - Primary Version,1952 - 1952,1952,1952,Not yet examined,Various locations,False,0
13187998,A8703,1044544,APCHOL Demonstration Melbourne 12 July 1968 - Primary Version,1968 - 1968,1968,1968,Open,Various locations,False,0
13188396,A8703,1044019,ANZ Congress March Melbourne - 29 April 1962 - Primary Version,1962 - 1962,1962,1962,Open,Various locations,False,0
13189383,A8703,1047318,Arrival in Australia of Soviet Ambassador Vitaly Loginov  - 9 April 1963 - Primary Version,1963 - 1963,1963,1963,Not yet examined,Various locations,False,0
13189388,A8703,1047352,Arrival of Chinese Trade Union Officials TAA Essendon 24 October 1960 - Primary Version,1960 - 1960,1960,1960,Open,Various locations,False,0
13191995,A8703,1051848,Cabin 12 - 8 June 1954 Rodgers Entering Koskey Brothers South Melbourne - Primary Version,1937 - 1937,1937,1937,Not yet examined,Various locations,False,0
13191996,A8703,1051852,Communist Party of Australia [CPA] Metropolitan Cadres Conference Melbourne 1954 - Primary Version,1937 - 1937,1937,1937,Not yet examined,Various locations,False,0
13191997,A8703,1051854,Communist Party of Australia [CPA] Victorian State Conference Melbourne 1954 - Primary Version,circa1954 - circa1954,,,Not yet examined,Various locations,False,0
13191998,A8703,1051858,National Conference Eureka Youth League [EYL] SA 9 April 1955 - Camera Material,1955 - 1955,1955,1955,Not yet examined,Various locations,False,0
